,entities,relations,sentences
0,"[[(u'Knowledge creation', u'Task'), (u'learning', u'Task')], [(u'theoretical abilities', u'OtherScientificTerm')], [(u'organisational knowledge creation', u'Task'), (u'Co-Evolute methodology', u'Method')], [(u'Co-Evolute methodology', u'Method'), (u'ontology engineering', u'Method')], [(u'applications', u'Generic'), (u'organisational knowledge creation', u'Task'), (u'Talbot', u'Material')], [(u'Co-Evolute methodology', u'Method')], [], [(u'Co-Evolute survey', u'Task')], [(u'Folium and Talbot applications', u'Task')]]","[[(u'Knowledge creation', u'CONJUNCTION', u'learning')], [], [(u'Co-Evolute methodology', u'USED-FOR', u'organisational knowledge creation')], [(u'ontology engineering', u'USED-FOR', u'Co-Evolute methodology')], [(u'organisational knowledge creation', u'HYPONYM-OF', u'applications')], [], [], [], []]","[u'Knowledge creation and learning are key issues facing companies today .', u'Creation of added value is based on the improvement of personnels performance through practical work and theoretical abilities .', u'This research examines organisational knowledge creation and learning through the Co-Evolute methodology created at the Tampere University of Technology in Pori .', u'The Co-Evolute methodology utilises ontology engineering to support the use of several specific fuzzy applications on the internet .', u'In this research two applications are presented : Folium , studying organisational knowledge creation and Talbot , studying learning the environment .', u'The Co-Evolute methodology measures the difference between current and desired states , i.e .', u'the proactive vision of the organisation or individual .', u'This paper presents the results of a Co-Evolute survey , carried out at a research institute in Turku , Finland , during 2005 .', u'This paper shows how the Folium and Talbot applications can be used to identify areas requiring development ...']"
1,"[[(u'Knowledge management', u'Task'), (u'organizing', u'Method'), (u'it', u'Generic')], [(u'knowledge management system', u'Method'), (u'KMS )', u'Method')], [(u'KMS', u'Method')], [(u'KMS', u'Method'), (u'system features', u'OtherScientificTerm'), (u'KM activities', u'OtherScientificTerm'), (u'KM', u'Method')], [(u'semantic technology', u'Method'), (u'KMS', u'Method'), (u'semantic KM model', u'Method'), (u'collaborative learning environment', u'Task')], [(u'model', u'Generic'), (u'KM', u'Task'), (u'semantic technology', u'Method'), (u'collaborative learning environment', u'Task'), (u'model components', u'Generic'), (u'questionnaire survey', u'Task')], [], [(u'Rasch Unified Measurement Method', u'Method'), (u'RUMM )', u'Method'), (u'pilot data', u'Material')], [(u'Person reliability', u'Metric'), (u'Item reliability', u'Metric'), (u'fair data', u'Material')], [(u'distorted measurements', u'OtherScientificTerm')], []]","[[(u'it', u'USED-FOR', u'knowledge reuse')], [], [], [], [(u'semantic technology', u'USED-FOR', u'KMS'), (u'semantic KM model', u'USED-FOR', u'collaborative learning environment')], [(u'KM', u'CONJUNCTION', u'KMS'), (u'KM', u'CONJUNCTION', u'semantic technology'), (u'KMS', u'CONJUNCTION', u'semantic technology'), (u'semantic technology', u'CONJUNCTION', u'collaborative learning environment'), (u'questionnaire survey', u'USED-FOR', u'model components')], [], [(u'Rasch Unified Measurement Method', u'USED-FOR', u'pilot data')], [], [], []]","[u'Knowledge management ( KM ) is about collecting , organizing , and storing the knowledge assets of an organization to make it accessible for future knowledge reuse and application .', u'Effective knowledge management system ( KMS ) should be able to deliver relevant knowledge to the right knowledge user at the right time .', u'Yet , existing KMS is limited in several ways , and still largely relies on human efforts to access , extract and filter information pertinent to their knowledge need .', u'Successful KMS requires the identification of proper technology designed with the right system features to support the KM activities , hence achieve the goals of KM .', u'Due to this motivation , this paper aims to discuss the application of semantic technology to enhance the KMS and propose a semantic KM model to support collaborative learning environment .', u'This preliminary model has been proposed based on the review of the literatures on KM , KMS , semantic technology and collaborative learning environment and the verification of the model components will be done using a questionnaire survey .', u'A pilot survey was conducted to several academicians in Higher Learning Institutions ( HLIs ) in Malaysia to validate the survey instruments before the actual survey is carried out .', u'Rasch Unified Measurement Method ( RUMM ) is used to analyze the pilot data .', u'As a result , Person reliability is found to be quite high , but Item reliability suggested fair data .', u'A few respondents and items were identified as misfits with distorted measurements .', u'Some problematic questions are revised and the negative questions are considered to be reworded into positive questions .']"
2,"[[(u'Linked data', u'Material')], [(u'It', u'Generic'), (u'software reasoners', u'Method')], [(u'EYE reasoner', u'Method'), (u'linked data', u'Material'), (u'EYE', u'Method')]]","[[], [], [(u'linked data', u'USED-FOR', u'EYE reasoner')]]","[u'Linked data represents each piece of data as a link between two things .', u'It lets software reasoners arrive at conclusions in a human-like way .', u'This column discusses how the EYE reasoner exploits linked data and how industry is employing EYE .']"
3,"[[(u'domain specific solutions', u'Method'), (u'detailed semantic analysis', u'Task'), (u'natural language processing community', u'Task'), (u'natural language based user interface', u'OtherScientificTerm')], [(u'approaches', u'Generic'), (u'text contents', u'Material'), (u'semantic information', u'OtherScientificTerm'), (u'approaches', u'Generic'), (u'semantic analysis', u'Method')], [(u'approach', u'Generic'), (u'semantic information', u'OtherScientificTerm'), (u'semantic analysis', u'Method')], [(u'problem', u'Generic'), (u'semantic technology', u'Method'), (u'natural language', u'Material'), (u'domain specific semantics', u'OtherScientificTerm'), (u'semantic analysis', u'Method'), (u'attached semantics', u'OtherScientificTerm')], [(u'approach', u'Generic'), (u'semantic framework', u'Method'), (u'natural language software requirement specifications', u'Task')], [(u'framework', u'Generic'), (u'semantic technology', u'Method'), (u'software requirement documents', u'Material'), (u'applications', u'Generic')], [(u'approach', u'Generic'), (u'ontologies', u'Generic'), (u'knowledge management', u'Task'), (u'system', u'Generic'), (u'real world software systems', u'Method')], [(u'approach', u'Generic'), (u'software requirement specification', u'OtherScientificTerm'), (u'graph', u'OtherScientificTerm')], [(u'requirement graph', u'OtherScientificTerm'), (u'sparse matrix', u'OtherScientificTerm'), (u'ontology', u'OtherScientificTerm'), (u'OntoGen tool', u'Method')]]","[[(u'domain specific solutions', u'USED-FOR', u'detailed semantic analysis')], [(u'approaches', u'USED-FOR', u'text contents'), (u'approaches', u'USED-FOR', u'semantic analysis')], [(u'semantic information', u'USED-FOR', u'semantic analysis')], [(u'semantic technology', u'USED-FOR', u'problem'), (u'semantic technology', u'USED-FOR', u'software requirements'), (u'attached semantics', u'USED-FOR', u'semantic analysis')], [(u'semantic framework', u'USED-FOR', u'approach')], [(u'semantic technology', u'USED-FOR', u'framework'), (u'software requirement documents', u'USED-FOR', u'semantic technology')], [(u'ontologies', u'USED-FOR', u'system')], [], []]","[u'In the recent past , domain specific solutions for detailed semantic analysis have got acceptable by natural language processing community and use of applications involving natural language based user interface .', u'Different approaches that has been previously used is focusing on quality of text and improving the text contents by adding semantic information with text then the existing approaches used for semantic analysis can provide better results .', u'In this , an approach was presented to address the problem of non-availability of semantic information required for better semantic analysis .', u'This problem is solved by using semantic technology to annotate text of software requirements expressed in a natural language with their domain specific semantics and investigate the effect of semantic analysis with attached semantics .', u'The presented approach uses a semantic framework specifically designed for interpretation and detailed semantic analysis of natural language software requirement specifications .', u'The used framework is based on semantic technology involves knowledge extracted from existing software requirement documents and knowledge extracted from existing applications .', u'The presented approach shows that by adapting and combing existing ontologies to support knowledge management , developing system and performing experiments on requirement of real world software systems .', u'In this approach start with software requirement specification , after this clean the irrelevant requirements , convert the cleaned requirements into graph that represents inter related different elements .', u'Represent the requirement graph into sparse matrix , after these all steps ; we generate ontology with the help of OntoGen tool .']"
4,"[[(u'Event-driven systems', u'Method')], [(u'complex real-world events', u'OtherScientificTerm'), (u'event processing systems', u'Method'), (u'they', u'Generic'), (u'systems', u'Generic')], [(u'Complex events', u'OtherScientificTerm'), (u'raw primitive events', u'OtherScientificTerm'), (u'syntax', u'OtherScientificTerm'), (u'semantics', u'OtherScientificTerm')], [(u'ontological background knowledge', u'OtherScientificTerm'), (u'non-event concepts', u'OtherScientificTerm'), (u'event processing', u'Task')], [(u'ontology', u'Task'), (u'event processing', u'Task'), (u'modular upper-level ontologies', u'Method'), (u'semantic enabled complex event processing', u'Task')], [(u'ontologies', u'Generic'), (u'ontology engineering aspects', u'OtherScientificTerm'), (u'scalability', u'Metric'), (u'expressiveness', u'OtherScientificTerm'), (u'reuse', u'OtherScientificTerm')]]","[[], [], [(u'syntax', u'CONJUNCTION', u'semantics')], [], [(u'ontology', u'CONJUNCTION', u'event processing'), (u'modular upper-level ontologies', u'USED-FOR', u'semantic enabled complex event processing')], [(u'ontology engineering aspects', u'USED-FOR', u'ontologies'), (u'scalability', u'CONJUNCTION', u'expressiveness'), (u'scalability', u'CONJUNCTION', u'reuse'), (u'expressiveness', u'CONJUNCTION', u'reuse')]]","[u'Event-driven systems are highly depending on the quality of detection and processing of events .', u'Many of complex real-world events can not be processed by the existing event processing systems because they are too complex to be understood and processed by the systems .', u'Complex events can be inferred from raw primitive events based on their incoming sequence , their syntax and semantics .', u'Usage of ontological background knowledge about events and their relationship to other non-event concepts can improve the quality of event processing .', u'In this paper , we discuss the profits and problems of ontology developing and usage in the area of event processing and propose modular upper-level ontologies for semantic enabled complex event processing .', u'We discuss , why the modularity is needed and how these ontologies should be modular build up based on ontology engineering aspects to be able to address scalability , expressiveness and reuse .']"
5,"[[(u'Ontology evaluation', u'Task'), (u'ontology engineering', u'Task')], [(u'ontology evaluation process', u'Task'), (u'them', u'Generic')], [(u'Semantic Inconsistency errors', u'OtherScientificTerm'), (u'taxonomic knowledge', u'OtherScientificTerm'), (u'semantic classification', u'Task'), (u'ontology', u'OtherScientificTerm'), (u'ontology merging process', u'Task')], [(u'semantic inconsistency errors', u'OtherScientificTerm'), (u'semantic classification evaluation', u'Task')], [(u'criterion', u'Generic'), (u'well-formed class hierarchy', u'OtherScientificTerm'), (u'semantic inconsistency errors', u'OtherScientificTerm')], [(u'control mechanisms', u'Method'), (u'mappings', u'OtherScientificTerm'), (u'ontology merging process', u'Task')], []]","[[(u'Ontology evaluation', u'PART-OF', u'ontology engineering')], [], [], [], [], [], []]","[u'Ontology evaluation is one of the most important phases of ontology engineering .', u""Researchers have identified different types of errors that should be catered in ontology evaluation process and classified them in error 's taxonomy ."", u'Semantic Inconsistency errors are the most common when modeling complex taxonomic knowledge while building semantic classification within the ontology , and in ontology merging process where different subtype concepts of source ontologies map on each other .', u'In this paper , we have identified three types of semantic inconsistency errors , and provided criteria for semantic classification evaluation .', u'This criterion provides ontologists to build well-formed class hierarchy that is free from semantic inconsistency errors .', u'Moreover we emphasized on the control mechanisms ( based on this criteria ) to be perform during finding mappings between concepts in ontology merging process to achieve accurate results .', u'We have demonstrated the importance of such errors by giving different scenarios where appropriate .']"
6,"[[(u'Semantic Decision Table ( SDT )', u'Method'), (u""decision makers ' concepts"", u'OtherScientificTerm'), (u'decision knowledge', u'OtherScientificTerm'), (u'knowledge sharing', u'Task')], [(u'SDT', u'Method'), (u'decision resources', u'OtherScientificTerm'), (u'tabular format', u'OtherScientificTerm')], [], [(u'SDT', u'Method'), (u'self organizations', u'Task'), (u'automatic reorganization of decision tables', u'Task')], [(u'precision', u'Metric')], [(u'Decision Support', u'Method'), (u'Database Modeling', u'Task'), (u'Ontology Engineering', u'Task'), (u'adaptive s elf- o rganization', u'Task'), (u'utomatic r eorganization procedures', u'Method')]]","[[], [(u'SDT', u'USED-FOR', u'decision resources'), (u'tabular format', u'USED-FOR', u'decision resources')], [], [], [(u'simplicity', u'CONJUNCTION', u'precision'), (u'precision', u'CONJUNCTION', u'flexibility')], [(u'Decision Support', u'CONJUNCTION', u'Database Modeling'), (u'adaptive s elf- o rganization', u'CONJUNCTION', u'utomatic r eorganization procedures')]]","[u""A Semantic Decision Table ( SDT ) provides a means to capture and examine decision makers ' concepts , as well as a tool for refining their decision knowledge and facilitating knowledge sharing in a scalable manner ."", u""One challenge SDT faces is to organize decision resources represented in a tabular format based on the user 's needs at different levels ."", u'It is important to make it self organized and automatically reorganized when the requirements are updated .', u'This paper describes the ongoing research on SDT and its tool that supports the self organizations and automatic reorganization of decision tables .', u'We argue that simplicity , precision , and flexibility are the key issues to respond to the paper challenge .', u'We propose a novel combination of the principles of Decision Support and Database Modeling , together with the modern technologies in Ontology Engineering , in the adaptive s elf- o rganization and a utomatic r eorganization procedures ( SOAR ) .']"
7,"[[(u'light-weight ontologies', u'OtherScientificTerm')], [], [(u'disjointness axioms', u'OtherScientificTerm'), (u'consistency checking', u'Task'), (u'automatic evaluation of ontologies', u'Task')], [], [(u'approach', u'Generic'), (u'disjointness axioms', u'OtherScientificTerm')], [(u'approach', u'Generic'), (u'methods', u'Generic'), (u'syntactic and semantic evidence', u'OtherScientificTerm'), (u'learning disjointness', u'Task')], [(u'approach', u'Generic'), (u'ontology engineering environments', u'OtherScientificTerm'), (u'automatic discovery of disjointness axioms', u'Task'), (u'ontology', u'OtherScientificTerm')]]","[[], [], [], [], [], [(u'approach', u'USED-FOR', u'syntactic and semantic evidence'), (u'methods', u'USED-FOR', u'syntactic and semantic evidence')], [(u'ontology engineering environments', u'FEATURE-OF', u'automatic discovery of disjointness axioms')]]","[u""An increasing number of applications benefits from light-weight ontologies , or to put it differently `` a little semantics goes a long way '' ."", u'However , our experience indicates that more expressiveness can offer significant advantages .', u'Introducing disjointness axioms , for instance , greatly facilitates consistency checking and the automatic evaluation of ontologies .', u'In an extensive user study we discovered that proper modeling of disjointness is a difficult and very time-consuming task .', u'We therefore developed an approach to automatically enrich learned or manually engineered ontologies with disjointness axioms .', u'This approach relies on several methods for obtaining syntactic and semantic evidence from different sources which we believe to provide a solid base for learning disjointness .', u'After thoroughly evaluating the implementation of our approach we think that in future ontology engineering environments the automatic discovery of disjointness axioms may help to increase the richness , quality and usefulness of any given ontology .']"
8,"[[(u'Debugging inconsistent OWL ontologies', u'Task'), (u'ontology engineers', u'Method'), (u'formalisation errors', u'OtherScientificTerm'), (u'knowledge model', u'Method')], [(u'Debugging services', u'Method'), (u'ontology engineering tools', u'Method'), (u'debugging strategies', u'Method')], [(u'they', u'Generic'), (u'precision', u'Metric')], [(u'identification of common antipatterns', u'Task'), (u'debugging strategy', u'Method'), (u'task', u'Generic')]]","[[(u'ontology engineers', u'CONJUNCTION', u'domain experts')], [(u'ontology engineering tools', u'CONJUNCTION', u'debugging strategies'), (u'debugging strategies', u'PART-OF', u'Debugging services')], [], [(u'identification of common antipatterns', u'USED-FOR', u'ontology developers'), (u'identification of common antipatterns', u'CONJUNCTION', u'debugging strategy')]]","[u'Debugging inconsistent OWL ontologies is a tedious and time-consuming task where a combination of ontology engineers and domain experts is often required to understand whether the changes to be performed are actually dealing with formalisation errors or changing the intended meaning of the original knowledge model .', u'Debugging services from existing ontology engineering tools and debugging strategies available in the literature aid in this task .', u'However , in complex cases they are still far from providing adequate support to ontology developers , due to their lack of efficiency or precision when explaining the main causes for unsatisfiable classes , together with little support for proposing solutions for them .', u'We claim that it is possible to provide additional support to ontology developers , based on the identification of common antipatterns and a debugging strategy , which can be combined with the use of existing tools in order to make this task more effective .']"
9,"[[(u'Social Psychology perspective', u'OtherScientificTerm'), (u'ontology engineering processes', u'Task')], [(u'ontologies', u'OtherScientificTerm'), (u'formal psycho-social entities', u'OtherScientificTerm')], [], [(u'ontology', u'Method')], [(u'ontology', u'Task'), (u'domain knowledge', u'OtherScientificTerm'), (u'ontologist role', u'OtherScientificTerm'), (u'social representation', u'Method'), (u'formal language', u'OtherScientificTerm')]]","[[(u'Social Psychology perspective', u'USED-FOR', u'ontology engineering processes')], [], [], [], []]","[u'The Social Psychology perspective provides a new look into the ontology engineering processes .', u'In this paper , we analyze in particular how ontologies , as formal psycho-social entities , are the outcome of influences .', u'The types of influence range from the sources ( originating from the experts and the corpus authors ) to the ontologists .', u'As it is impossible to design an ontology without any influence , the ontologist should develop his awareness and has to minimize the influence through the process by taking precisely into account the ecosystem considered .', u""An ontology is a shared conceptualization establishing what must be the `` truth '' .There is a conformism to and of the ontologist and to the choice of formalism.The expert , by its special position recognized , has an influence on the individuals.Can we use texts as the correct transposition of the domain knowledge ? The ontologist role is to translate a social representation into a formal language .""]"
