,s,p,o,source,support
0,learning,relate,knowledge creation,heuristic,2
1,knowledge creation,relate,learning,heuristic,2
2,collaborative learning environment,relate,semantic web technologies,heuristic,1
3,item reliability,suggest,fair data,heuristic,1
4,software requirement,express,natural languages,heuristic,2
5,semantic web technologies,annotate,natural languages,heuristic,4
6,software requirement,express,domain specific semantic,heuristic,2
7,semantic web technologies,annotate,domain specific semantic,heuristic,4
8,software requirement,express,semantic analysi,heuristic,4
9,semantic web technologies,annotate,software requirement,heuristic,2
10,software requirement,express,attached semantic,heuristic,4
11,semantic web technologies,exist,software requirement document,heuristic,6
12,semantic web technologies,exist,application,heuristic,14
13,ontologies,play,knowledge management,heuristic,10
14,complex real world event,exist,event processing system,heuristic,1
15,syntax,infer,complex event,heuristic,1
16,syntax,relate,semantic,heuristic,6
17,semantic,relate,syntax,heuristic,6
18,raw primitive event,infer,complex event,heuristic,1
19,semantic,infer,complex event,heuristic,1
20,ontologies,open,event processing,heuristic,2
21,ontology engineering aspect,addres,reuse,heuristic,2
22,ontology engineering aspect,addres,scalability,heuristic,2
23,ontology engineering aspect,addres,expressivenes,heuristic,2
24,reuse,relate,expressivenes,heuristic,1
25,expressivenes,relate,reuse,heuristic,1
26,scalability,relate,expressivenes,heuristic,1
27,expressivenes,relate,scalability,heuristic,1
28,automatic reorganization of decision table,relate,self organization,heuristic,1
29,self organization,relate,automatic reorganization of decision table,heuristic,1
30,database modeling,relate,decision support,heuristic,1
31,decision support,relate,database modeling,heuristic,1
32,light weight ontology,put,semantic,heuristic,1
33,disjointness axiom,check,automatic evaluation of ontology,heuristic,2
34,syntactic and semantic evidence,believe,learning disjointnes,heuristic,2
35,ontology engineer,deal,formalisation error,heuristic,3
36,formalisation error,intend,knowledge model,heuristic,2
37,debugging inconsistent owl ontology,consume,ontology engineer,heuristic,2
38,debugging service,exist,debugging strategy,heuristic,1
39,debugging strategy,relate,ontology engineering tool,heuristic,1
40,ontology engineering tool,relate,debugging strategy,heuristic,1
41,debugging service,exist,ontology engineering tool,heuristic,1
42,debugging strategy,exist,task,heuristic,2
43,manual low level task,relate,complexity,heuristic,1
44,complexity,relate,manual low level task,heuristic,1
45,manual low level task,share,data warehouses,heuristic,1
46,disparate application task,distinguish,domain entity,heuristic,2
47,ontologies,commit,product knowledge representation,heuristic,2
48,abstract conceptualization,benefit,machine learning techniques,heuristic,1
49,abstract conceptualization,benefit,natural language processing systems,heuristic,1
50,abstract conceptualization,benefit,information extraction,heuristic,1
51,abstract conceptualization,benefit,application,heuristic,1
52,abstract conceptualization,benefit,ontology construction,heuristic,1
53,machine learning techniques,relate,information extraction,heuristic,2
54,information extraction,relate,machine learning techniques,heuristic,2
55,machine learning techniques,relate,ontology construction,heuristic,1
56,ontology construction,relate,machine learning techniques,heuristic,2
57,natural language processing systems,relate,information extraction,heuristic,1
58,information extraction,relate,natural language processing systems,heuristic,1
59,syntactic behavior,relate,shared meaning,heuristic,1
60,shared meaning,relate,syntactic behavior,heuristic,1
61,annotation task,annotate,annotating ontological property,heuristic,1
62,ontologies,annotate,annotating ontological property,heuristic,1
63,integrity constraint validation,check,integrity constraint,heuristic,3
64,integrity constraint,guarantee,ontology data,heuristic,2
65,ontology construction,guarantee,ontology data,heuristic,2
66,ontologies,guarantee,ontology data,heuristic,3
67,ontologies,automatize,ontology construction,heuristic,10
68,tableau algorithm,exist,reasoning algorithms,heuristic,1
69,integrity constraint,exist,reasoning algorithms,heuristic,2
70,ontology knowledge base,exist,reasoning algorithms,heuristic,2
71,conjunctive query answering,check,tableau algorithm,heuristic,2
72,conjunctive query answering,check,integrity constraint,heuristic,1
73,conjunctive query answering,check,ontology knowledge base,heuristic,1
74,modularization,break,integrity constraint,heuristic,1
75,modularization,break,terminology,heuristic,1
76,semi automated ontology extension,relate,text mining,heuristic,1
77,text mining,relate,semi automated ontology extension,heuristic,1
78,ontology construction,relate,document,heuristic,1
79,document,relate,ontology construction,heuristic,1
80,term clustering method,incur,human overhead,heuristic,2
81,online social message,regard,emergent event,heuristic,2
82,event lifecycle algorithm,relate,social data,heuristic,1
83,social data,relate,event lifecycle algorithm,heuristic,1
84,ontology evaluation,check,ontologies,heuristic,2
85,ontology validation,relate,knowledge selection,heuristic,1
86,knowledge selection,relate,ontology validation,heuristic,1
87,entertainment,relate,busines,heuristic,1
88,busines,relate,entertainment,heuristic,1
89,entertainment,relate,education,heuristic,1
90,education,relate,entertainment,heuristic,1
91,folksonmy,relate,document ranking,heuristic,1
92,document ranking,relate,folksonmy,heuristic,1
93,folksonmy,relate,recommender systems,heuristic,1
94,recommender systems,relate,folksonmy,heuristic,1
95,computer science related area,relate,information technology,heuristic,1
96,information technology,relate,computer science related area,heuristic,1
97,digital libraries,move,usage of digital scientific information,heuristic,1
98,organisational knowledge management,consume,large scale semantic data,heuristic,1
99,visual analytic,relate,semantic web principle,heuristic,1
100,semantic web principle,relate,visual analytic,heuristic,1
101,template,relate,rule,heuristic,1
102,rule,relate,template,heuristic,1
103,template,relate,translation rule,heuristic,1
104,translation rule,relate,template,heuristic,1
