;s;p;o
0;dbpedia viewer;skos:broader/is/hyponym-of;dbpedia linked data user interface
1;ontology development;uses;generalized structure of indian university
2;knowledge object visualization;uses;knowledge network
3;digital libraries;includes;text repository
4;web based personalized learning;uses;adaptive learning ( al ) system
5;application;uses;existential graph
6;litwordnet;skos:broader/is/hyponym-of;lithuanian ontology
7;semantic web technologies;uses;probabilistic diagnosis system
8;data product;provides;semantic
9;modeling application;uses;decision maker
10;visual content description;uses;xml
11;acquisition and analysis of frame evidence;uses;semantic search method
12;portal;includes;semi automatic innovation tripole generation
13;probabilistic classification;uses;authorization framework
14;ill formed sentence problem;uses;partial pattern tree
15;ubiquitous computing;uses;internet
16;co evolute methodology;uses;ontology construction
17;dl ontology;skos:broader/is/hyponym-of;dl knowledge base
18;re use of learning resource;uses;ontologies
19;web service;uses;uddi
20;data source;uses;domain-specific ontologies
21;electronic commerce process;uses;workflow template
22;opendata;supports;web
23;system;uses;background knowledge
24;archivist;uses;linked data
25;semantic annotation of textual document;uses;nlp technique
26;fuzzy and uncertain knowledge;uses;fuzzy ontology
27;observers;skos:broader/is/hyponym-of;notification scheme
28;hierarchy structure;uses;pre processing data
29;mobile devices;uses;navigation modelling
30;dbpedia;skos:broader/is/hyponym-of;semantic web resource
31;cascading learning system;uses;semantic search engines
32;concept satisfiability;skos:broader/is/hyponym-of;reasoning task
33;product data semantics sharing issue;uses;ontologies
34;ontologies;uses;ontology extraction tool
35;semantic collaboration;uses;semantic reasoning technology
36;web search engine;uses;keyword
37;textual description;uses;domain sport ontology description
38;contextaware recommendation list;uses;racofi
39;aggregative content management;skos:broader/is/hyponym-of;social technology
40;gospl;skos:broader/is/hyponym-of;collaborative ontology engineering method
41;shrdis system;provides;scalability
42;content based full text search;uses;hierarchical semantic overlay network
43;linked data web;skos:broader/is/hyponym-of;web of connected data
44;semantic annotation proces;includes;meta data
45;product design knowledge;uses;postgresql database schema
46;information filtering technique;uses;x3d language
47;knowledge intensive organization;uses;intelligent learning system
48;registry;uses;semantic relationships
49;collaborative filtering algorithms;uses;faceted graph visualization
50;ubiquitous computing environment;uses;semantic web technologies
51;linked data stream;uses;data collector
52;application component;uses;conceptual model
53;inconsistent problem;uses;e dag figure representation method
54;statistical and logic based tool;skos:broader/is/hyponym-of;computational utility
55;resource search;uses;internet
56;virtual learning environments;uses;ontologies
57;ontofox;uses;sparql endpoint
58;local analysis of subsets of the object;uses;semantic lens
59;e learning system;includes;personalizations
60;exploitation scenario;uses;psi open linked data
61;service provider;uses;cloud
62;high level fusion task;uses;platform
63;crisp concept;uses;semantic similarity method
64;domain independent platform;uses;semantic web technologies
65;flexible composition of application;uses;middleware
66;fuzzy set based tutoring system;uses;general purpose design methodology
67;intelligence;skos:broader/is/hyponym-of;smartnes
68;data associations;includes;level 1 fusion
69;web information system;uses;design methodology
70;approximate concept;uses;abstract web mining model
71;ebxml registry;uses;open source framework freebxml
72;personalized system;uses;metadata model
73;modification of learning scenario;uses;ontologies
74;hybrid program;uses;owl dl
75;semantic web technologies;supports;social networking
76;web resource;uses;ontology model
77;ontologies;provides;rich internal structure
78;public health surveillance;uses;twitter
79;sko types framework;includes;sko metadata schema
80;inverse document frequency;uses;search engines
81;eli ontology;uses;keli concept lattice
82;processing research data;uses;system family
83;rdf access authorization model;uses;ontology hierarchy
84;learning domain ontology;uses;domain concept
85;web semantica;skos:broader/is/hyponym-of;parole chiave
86;temporal querying requirement;uses;ontology driven framework
87;semantic web technologies;uses;webtheme
88;average recall;evaluates;query mechanism
89;computer readable code;uses;image vocabulary of low level image property
90;pharmaceutical;uses;clinical research
91;control systems;uses;multi agent system (mas)
92;ontologies;uses;ontological engineering
93;semantic web technologies;uses;expressive ontology
94;multi aspect workflow;uses;tool
95;lucene;skos:broader/is/hyponym-of;hybrid system
96;rdf data;uses;namespace description
97;web contents;uses;rdfa annotation
98;method;uses;medline
99;rule;uses;reasoning engine
100;profiling;uses;ontology construction
101;matching;skos:broader/is/hyponym-of;sw
102;partial similarity;uses;scheme
103;latent feature representation;uses;lrbm
104;knowledge bases;uses;relation
105;undesired inference;uses;xml query answer
106;multilingual ontology;uses;infinite number of language
107;entity resolution;uses;markov logic
108;ontologies;uses;nlp technique
