;s;p;o;source;support;abstracts
0;chinese;provides;chinese language education;heuristic;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
1;poetry appreciation learning;learns;vision;heuristic;3;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
2;poetry appreciation learning;learns;scenic spot;heuristic;3;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
3;poetry appreciation learning;provides;immersive poetry learning;heuristic;2;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
4;poetry appreciation learning;learns;multimedia property;heuristic;3;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
5;learner context;produces;coherent poetry;heuristic;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
6;ontology based immersive poetry learning system;produces;coherent poetry;heuristic;2;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
7;learner context;produces;music;heuristic;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
8;ontology based immersive poetry learning system;base;learner context;heuristic;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
9;learner context;produces;ontology alignment;heuristic;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
