;s;p;o
0;background music;skos:broader/is/hyponym-of;multimedia property
1;coherent poetry;uses;ontology based immersive poetry learning system
2;immersive poetry learning;uses;music emotion ontology
3;reading with occasional poetry;skos:broader/is/hyponym-of;multimedia property
4;background music;skos:broader/is/hyponym-of;vision
5;ontology based immersive poetry learning system;uses;learner context
6;learner context;produces;music
7;ontology based immersive poetry learning system;produces;music
8;reading with occasional poetry;skos:broader/is/hyponym-of;vision
9;emotional reinforcement;skos:broader/is/hyponym-of;multimedia property
10;context information poetry content;uses;music emotion ontology
11;background music;skos:broader/is/hyponym-of;emotional reinforcement
12;scenic spot;skos:broader/is/hyponym-of;vision
13;scenic spot;skos:broader/is/hyponym-of;multimedia property
14;learning context ontology;produces;immersive poetry learning
15;music emotional property;uses;music emotion ontology
